Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2010-02-05,22.42,22.79,22.24,22.71,15603000.0,0.0,1.0,8.820392099487929,8.965956108266274,8.749577176298462,8.934482809070957,15603000.0
2010-02-08,22.73,22.95,22.45,22.49,8464900.0,0.0,1.0,8.942351133869787,9.028902706656911,8.832194586686173,8.84793123628383,8464900.0
2010-02-09,22.77,22.9,22.24,22.37,12061200.0,0.0,1.0,8.958087783467445,9.009231894659838,8.749577176298462,8.800721287490855,12061200.0
2010-02-10,22.31,22.39,21.75,21.96,15611600.0,0.0,1.0,8.777116313094366,8.808589612289683,8.556803218727138,8.639420629114849,15611600.0
2010-02-11,21.81,22.19,21.54,22.13,12956900.0,0.0,1.0,8.580408193123626,8.729906364301389,8.474185808339428,8.7063013899049,12956900.0
2010-02-12,21.75,22.05,21.51,21.77,17892100.0,0.0,1.0,8.556803218727138,8.674828090709582,8.462383321141184,8.564671543525968,17892100.0
2010-02-16,21.99,22.53,21.99,22.52,14495800.0,0.0,1.0,8.651223116313092,8.86366788588149,8.651223116313092,8.859733723482076,14495800.0
2010-02-17,22.51,22.75,22.37,22.68,11785200.0,0.0,1.0,8.855799561082662,8.950219458668617,8.800721287490855,8.922680321872713,11785200.0
2010-02-18,22.85,22.89,22.52,22.84,8989500.0,0.0,1.0,8.989561082662764,9.005297732260424,8.859733723482076,8.985626920263348,8989500.0
2010-02-19,22.91,23.49,22.46,23.42,19765800.0,0.0,1.0,9.013166057059252,9.24134747622531,8.836128749085587,9.213808339429406,19765800.0
2010-02-22,23.42,23.5,23.07,23.28,14411800.0,0.0,1.0,9.213808339429406,9.245281638624723,9.076112655449888,9.158730065837599,14411800.0
2010-02-23,23.15,23.2,22.69,22.89,10378700.0,0.0,1.0,9.107585954645206,9.127256766642281,8.926614484272127,9.005297732260424,10378700.0
2010-02-24,23.09,23.39,22.8999,23.26,10133400.0,0.0,1.0,9.083980980248718,9.202005852231162,9.009192553035843,9.15086174103877,10133400.0
2010-02-25,23.0,23.03,22.57,23.0,16079100.0,0.0,1.0,9.048573518653985,9.06037600585223,8.87940453547915,9.048573518653985,16079100.0
2010-02-26,22.965,23.05,22.62,23.02,15802600.0,0.0,1.0,9.034803950256034,9.06824433065106,8.899075347476224,9.056441843452815,15802600.0
2010-03-01,23.12,23.93,22.96,23.88,18792300.0,0.0,1.0,9.095783467446964,9.41445062179956,9.032836869056327,9.394779809802484,18792300.0
2010-03-02,23.81,24.12,23.8,23.99,15204200.0,0.0,1.0,9.367240673006581,9.48919970738844,9.363306510607167,9.438055596196048,15204200.0
2010-03-03,23.58,23.94,23.35,23.51,14812400.0,0.0,1.0,9.276754937820042,9.418384784198974,9.186269202633502,9.249215801024139,14812400.0
2010-03-04,23.01,23.8,22.96,23.78,11818000.0,0.0,1.0,9.0525076810534,9.363306510607167,9.032836869056327,9.355438185808339,11818000.0
2010-03-05,23.8,24.945,23.8,24.63,23270100.0,0.0,1.0,9.363306510607167,9.81376810534016,9.363306510607167,9.689841989758593,23270100.0
2010-03-08,24.425,24.94,24.4,24.84,11270300.0,0.0,1.0,9.609191660570591,9.811801024140452,9.599356254572053,9.772459400146303,11270300.0
2010-03-09,24.66,25.73,24.65,25.51,21611900.0,0.0,1.0,9.701644476956838,10.122599853694219,9.697710314557423,10.036048280907094,21611900.0
2010-03-10,25.46,25.81,25.32,25.56,13680100.0,0.0,1.0,10.01637746891002,10.154073152889536,9.961299195318214,10.055719092904168,13680100.0
2010-03-11,25.43,25.97,25.16,25.44,22611600.0,0.0,1.0,10.004574981711777,10.217019751280173,9.898352596927577,10.00850914411119,22611600.0
